Application_ID,Borrower_Name,Loan_Type,Loan_Purpose,Property_Type,Application_Date,Approval_Date,Closing_Date,Loan_Amount,Property_Value,LTV_Ratio,Interest_Rate,Tenure_Years,Credit_Score,DTI_Ratio,Processing_Time_Days,Fees,Underwriter,Processor,Status,State,Originator,Channel
APP5018,Borrower 18,VA,Purchase,Townhouse,2024-05-08,2024-05-21,2024-06-28,604589,772437,78.27,7.62,30,602,31,10,6244,Underwriter F,Processor G,Approved,NV,Agent Team I,Retail
APP5019,Borrower 19,Conventional,Refinance,Townhouse,2024-03-02,2024-03-11,2024-03-23,687833,845492,81.35,5.78,20,658,46,13,5263,Underwriter A,Processor L,Approved,IL,Agent Team C,Online
APP5020,Borrower 20,Jumbo,Purchase,Single Family,2024-04-22,2024-04-27,2024-06-03,343075,425808,80.57,7.23,15,730,41,9,5196,Underwriter C,Processor M,Approved,NY,Agent Team A,Retail
APP5021,Borrower 21,VA,Refinance,Multi-Family,2024-03-21,,,920746,977482,94.2,8.13,20,653,47,9,4974,Underwriter J,Processor E,Declined,CA,Agent Team F,Wholesale
APP5022,Borrower 22,FHA,Refinance,Multi-Family,2024-05-05,,,663153,744012,89.13,6.43,20,797,47,8,5010,Underwriter A,Processor B,In Review,NY,Agent Team F,Direct
APP5023,Borrower 23,VA,Refinance,Luxury Home,2024-05-02,2024-05-07,2024-05-24,611079,747387,81.76,7.02,20,797,46,15,5082,Underwriter C,Processor K,Approved,WA,Agent Team H,Wholesale
APP5024,Borrower 24,VA,Refinance,Multi-Family,2024-05-23,2024-05-28,2024-06-17,760490,842153,90.3,5.13,15,747,28,23,2869,Underwriter J,Processor K,Approved,CO,Agent Team K,Online
APP5025,Borrower 25,VA,Purchase,Luxury Home,2024-05-26,2024-06-03,2024-06-21,364835,534587,68.25,7.21,20,727,31,22,4419,Underwriter B,Processor J,Approved,IL,Agent Team K,Online
APP5026,Borrower 26,Conventional,Refinance,Condo,2024-05-08,,,807162,845317,95.49,7.35,30,777,47,14,1762,Underwriter E,Processor C,Declined,FL,Agent Team J,Direct
APP5027,Borrower 27,FHA,Refinance,Condo,2024-05-23,2024-06-06,2024-07-03,257512,434955,59.2,6.69,20,601,25,20,5223,Underwriter H,Processor F,Approved,CA,Agent Team E,Retail
APP5028,Borrower 28,FHA,Refinance,Single Family,2024-02-06,,,441999,479399,92.2,6.12,30,647,40,7,5999,Underwriter B,Processor I,Declined,AZ,Agent Team E,Wholesale
APP5029,Borrower 29,Conventional,Refinance,Condo,2024-02-23,2024-03-06,2024-03-18,948615,1122561,84.5,7.99,20,763,30,12,5423,Underwriter J,Processor J,Approved,TX,Agent Team E,Online
APP5030,Borrower 30,VA,Refinance,Luxury Home,2024-04-21,,,807917,876277,92.2,7.12,20,692,42,18,5933,Underwriter B,Processor B,Declined,CA,Agent Team H,Wholesale
APP5031,Borrower 31,FHA,Refinance,Luxury Home,2024-02-23,2024-03-01,2024-03-28,462252,604548,76.46,5.56,30,667,25,18,2800,Underwriter H,Processor D,Approved,TX,Agent Team C,Online
APP5032,Borrower 32,Jumbo,Purchase,Condo,2024-02-17,2024-02-25,2024-03-31,278391,394807,70.51,5.99,15,775,36,23,6065,Underwriter E,Processor O,Approved,NV,Agent Team A,Direct
APP5033,Borrower 33,Conventional,Purchase,Townhouse,2024-04-28,,,550109,696490,78.98,8.11,30,708,43,26,4854,Underwriter D,Processor E,Declined,NJ,Agent Team B,Direct
APP5034,Borrower 34,Conventional,Refinance,Condo,2024-01-27,,,723665,807710,89.59,7.06,15,710,25,9,4567,Underwriter A,Processor B,In Review,FL,Agent Team B,Wholesale
APP5035,Borrower 35,FHA,Purchase,Townhouse,2024-03-01,2024-03-08,2024-03-23,777234,916850,84.77,5.14,20,771,38,25,4065,Underwriter D,Processor D,Approved,IL,Agent Team G,Direct
APP5036,Borrower 36,Jumbo,Purchase,Luxury Home,2024-04-08,2024-04-24,2024-05-14,970260,1150043,84.37,6.06,30,645,45,7,2199,Underwriter B,Processor D,Approved,CA,Agent Team H,Wholesale
APP5037,Borrower 37,FHA,Purchase,Townhouse,2024-04-25,,,215726,387290,55.7,6.23,20,760,27,22,3316,Underwriter F,Processor B,In Review,FL,Agent Team G,Online
APP5038,Borrower 38,Conventional,Purchase,Condo,2024-02-23,2024-03-08,2024-03-22,595101,661732,89.93,5.67,30,774,46,27,4509,Underwriter I,Processor C,Approved,NY,Agent Team J,Online
APP5039,Borrower 39,Conventional,Refinance,Single Family,2024-05-06,2024-05-21,2024-06-11,905073,1040937,86.95,7.25,20,775,31,14,4306,Underwriter B,Processor I,Approved,CO,Agent Team C,Retail
APP5040,Borrower 40,Jumbo,Purchase,Townhouse,2024-01-26,,,385362,444954,86.61,6.96,20,659,31,8,6280,Underwriter A,Processor H,Declined,TX,Agent Team I,Online
APP5041,Borrower 41,VA,Refinance,Condo,2024-01-20,2024-01-25,2024-02-13,418799,518830,80.72,5.16,15,714,47,19,6711,Underwriter I,Processor D,Approved,IL,Agent Team A,Direct
APP5042,Borrower 42,Jumbo,Refinance,Multi-Family,2024-04-07,,,816326,971188,84.05,5.12,30,752,46,26,3215,Underwriter E,Processor O,Declined,FL,Agent Team J,Online
APP5043,Borrower 43,VA,Purchase,Townhouse,2024-03-10,2024-03-20,2024-04-11,611243,754875,80.97,7.65,15,659,36,16,1504,Underwriter D,Processor C,Approved,NY,Agent Team D,Online
APP5044,Borrower 44,FHA,Refinance,Single Family,2024-04-12,2024-04-20,2024-05-07,871772,975295,89.39,5.42,20,713,34,23,6252,Underwriter D,Processor B,Approved,NJ,Agent Team H,Wholesale
APP5045,Borrower 45,FHA,Purchase,Luxury Home,2024-04-29,,,494894,553145,89.47,7.38,30,689,29,25,4338,Underwriter I,Processor A,In Review,CA,Agent Team A,Direct
APP5046,Borrower 46,Jumbo,Purchase,Luxury Home,2024-05-06,2024-05-19,2024-06-11,224740,371092,60.56,5.55,15,600,39,6,6715,Underwriter J,Processor C,Approved,WA,Agent Team G,Direct
APP5047,Borrower 47,Jumbo,Refinance,Multi-Family,2024-05-05,2024-05-15,2024-06-11,170056,314604,54.05,7.04,15,788,31,9,3794,Underwriter G,Processor G,Approved,NJ,Agent Team L,Online
APP5048,Borrower 48,Conventional,Purchase,Single Family,2024-03-16,,,662153,759368,87.2,5.51,30,685,49,18,2743,Underwriter D,Processor A,In Review,AZ,Agent Team I,Wholesale
APP5049,Borrower 49,Conventional,Refinance,Multi-Family,2024-03-09,2024-03-14,2024-04-08,228781,302700,75.58,5.31,15,775,45,11,3135,Underwriter G,Processor O,Approved,AZ,Agent Team D,Retail
APP5050,Borrower 50,Conventional,Refinance,Multi-Family,2024-02-02,2024-02-11,2024-03-16,697337,825453,84.48,7.84,30,779,34,23,3989,Underwriter G,Processor B,Approved,WA,Agent Team C,Online
APP5051,Borrower 51,Conventional,Purchase,Townhouse,2024-04-05,,,341232,413207,82.58,7.11,30,603,40,20,6092,Underwriter G,Processor D,In Review,IL,Agent Team A,Wholesale
APP5052,Borrower 52,Conventional,Refinance,Townhouse,2024-05-07,,,893583,1072726,83.3,7.17,20,762,25,5,6552,Underwriter H,Processor E,In Review,NJ,Agent Team D,Direct
APP5053,Borrower 53,Conventional,Purchase,Multi-Family,2024-04-10,2024-04-26,2024-05-10,641072,709376,90.37,7.08,30,642,36,17,5607,Underwriter E,Processor C,Approved,IL,Agent Team C,Wholesale
APP5054,Borrower 54,FHA,Purchase,Luxury Home,2024-04-04,,,415517,588750,70.58,5.12,30,634,47,21,5685,Underwriter G,Processor K,In Review,NY,Agent Team F,Retail
APP5055,Borrower 55,VA,Refinance,Townhouse,2024-01-08,2024-01-25,2024-03-02,487497,583450,83.55,5.83,15,734,28,25,3016,Underwriter D,Processor G,Approved,WA,Agent Team B,Wholesale
APP5056,Borrower 56,VA,Purchase,Single Family,2024-03-15,,,281484,319027,88.23,7.35,30,620,49,8,4965,Underwriter G,Processor C,In Review,CO,Agent Team D,Direct
APP5057,Borrower 57,Jumbo,Purchase,Condo,2024-04-10,2024-04-23,2024-05-28,264352,377394,70.05,6.32,15,695,48,27,5632,Underwriter C,Processor J,Approved,FL,Agent Team H,Wholesale
APP5058,Borrower 58,Jumbo,Refinance,Townhouse,2024-01-12,2024-01-17,2024-02-20,745468,888324,83.92,5.76,15,629,41,21,2095,Underwriter E,Processor G,Approved,NY,Agent Team D,Online
APP5059,Borrower 59,FHA,Refinance,Luxury Home,2024-04-21,,,269180,365414,73.66,5.32,20,699,36,13,5671,Underwriter C,Processor H,In Review,WA,Agent Team L,Online
APP5060,Borrower 60,VA,Refinance,Condo,2024-01-09,,,209163,291097,71.85,8.04,20,682,39,20,6480,Underwriter H,Processor I,Declined,TX,Agent Team D,Wholesale
APP5061,Borrower 61,Jumbo,Purchase,Condo,2024-03-09,2024-03-16,2024-04-08,370184,542386,68.25,5.68,20,652,47,20,4116,Underwriter I,Processor E,Approved,CO,Agent Team F,Online
APP5062,Borrower 62,FHA,Purchase,Luxury Home,2024-02-08,,,758364,878144,86.36,6.58,20,766,38,9,6834,Underwriter D,Processor F,In Review,IL,Agent Team I,Online
APP5063,Borrower 63,Conventional,Refinance,Luxury Home,2024-03-15,2024-03-21,2024-04-16,877627,909169,96.53,6.36,30,767,34,13,4493,Underwriter E,Processor H,Approved,CO,Agent Team B,Wholesale
APP5064,Borrower 64,Jumbo,Purchase,Townhouse,2024-01-27,2024-02-10,2024-02-23,364532,482624,75.53,5.27,15,682,32,20,2888,Underwriter C,Processor D,Approved,IL,Agent Team A,Online
APP5065,Borrower 65,Jumbo,Refinance,Multi-Family,2024-03-05,,,388067,550463,70.5,7.41,30,669,43,16,6801,Underwriter F,Processor D,Declined,AZ,Agent Team F,Direct
APP5066,Borrower 66,Jumbo,Refinance,Condo,2024-03-31,2024-04-14,2024-05-21,899074,944559,95.18,6.58,15,740,42,24,1955,Underwriter F,Processor B,Approved,IL,Agent Team A,Online
APP5067,Borrower 67,Conventional,Purchase,Single Family,2024-03-01,2024-03-14,2024-04-01,713586,823805,86.62,8.08,20,790,41,5,6529,Underwriter F,Processor L,Approved,TX,Agent Team D,Online
APP5068,Borrower 68,VA,Purchase,Townhouse,2024-04-26,2024-05-06,2024-06-12,972827,1132522,85.9,6.78,20,646,45,20,4433,Underwriter G,Processor J,Approved,AZ,Agent Team K,Direct
APP5069,Borrower 69,VA,Purchase,Luxury Home,2024-05-26,,,425987,570052,74.73,5.53,30,648,38,19,4986,Underwriter J,Processor N,In Review,NY,Agent Team L,Retail
APP5070,Borrower 70,Conventional,Purchase,Luxury Home,2024-01-01,2024-01-10,2024-02-12,518501,686687,75.51,5.9,15,615,32,10,4519,Underwriter E,Processor I,Approved,TX,Agent Team A,Retail
APP5071,Borrower 71,Conventional,Purchase,Luxury Home,2024-04-26,,,310775,350112,88.76,5.6,15,689,32,22,2039,Underwriter I,Processor C,In Review,NJ,Agent Team L,Online
APP5072,Borrower 72,Jumbo,Refinance,Luxury Home,2024-04-10,2024-04-23,2024-05-08,694447,846237,82.06,6.72,15,760,45,24,4008,Underwriter A,Processor N,Approved,TX,Agent Team L,Online
APP5073,Borrower 73,Jumbo,Refinance,Condo,2024-05-20,,,315421,467823,67.42,7.63,30,681,43,9,3338,Underwriter F,Processor F,In Review,IL,Agent Team I,Direct
APP5074,Borrower 74,VA,Purchase,Single Family,2024-01-10,2024-01-22,2024-02-20,468714,499729,93.79,6.2,20,664,42,19,6448,Underwriter A,Processor H,Approved,CO,Agent Team F,Wholesale
APP5075,Borrower 75,Conventional,Purchase,Townhouse,2024-01-26,2024-02-08,2024-03-12,419114,521588,80.35,6.82,15,760,26,13,2010,Underwriter C,Processor L,Approved,NY,Agent Team K,Retail
APP5076,Borrower 76,Jumbo,Refinance,Multi-Family,2024-05-08,2024-05-17,2024-06-13,853286,896049,95.23,7.6,30,694,29,10,2960,Underwriter G,Processor J,Approved,NJ,Agent Team J,Wholesale
APP5077,Borrower 77,VA,Refinance,Townhouse,2024-01-23,,,959956,1000872,95.91,7.42,30,682,41,25,3548,Underwriter I,Processor M,In Review,CO,Agent Team G,Retail
APP5078,Borrower 78,VA,Refinance,Condo,2024-02-20,,,466076,644248,72.34,5.66,30,792,41,12,3323,Underwriter D,Processor A,Declined,CA,Agent Team B,Retail
APP5079,Borrower 79,FHA,Purchase,Multi-Family,2024-02-03,,,186187,354498,52.52,5.07,15,761,46,26,2270,Underwriter A,Processor J,In Review,IL,Agent Team G,Online
APP5080,Borrower 80,Conventional,Purchase,Condo,2024-05-02,,,837409,904540,92.58,7.61,20,732,49,21,6219,Underwriter A,Processor N,In Review,NJ,Agent Team B,Online
APP5081,Borrower 81,VA,Refinance,Multi-Family,2024-02-16,2024-02-27,2024-03-24,151252,221016,68.43,7.05,20,674,43,11,6359,Underwriter G,Processor G,Approved,WA,Agent Team D,Retail
APP5082,Borrower 82,Jumbo,Purchase,Townhouse,2024-02-07,,,913185,998578,91.45,7.04,20,678,43,6,2831,Underwriter J,Processor L,In Review,AZ,Agent Team E,Retail
APP5083,Borrower 83,VA,Purchase,Townhouse,2024-03-19,2024-04-04,2024-05-08,857689,930777,92.15,8.04,20,731,34,21,6949,Underwriter I,Processor E,Approved,NY,Agent Team B,Wholesale
APP5084,Borrower 84,Jumbo,Purchase,Luxury Home,2024-01-17,,,956395,1041518,91.83,6.47,15,633,30,25,5800,Underwriter H,Processor D,Declined,NY,Agent Team G,Retail
APP5085,Borrower 85,Jumbo,Purchase,Single Family,2024-05-05,2024-05-20,2024-06-11,817375,892377,91.6,5.24,15,750,47,20,4945,Underwriter B,Processor L,Approved,AZ,Agent Team D,Wholesale
APP5086,Borrower 86,VA,Purchase,Single Family,2024-05-23,2024-06-04,2024-06-19,322312,453882,71.01,6.65,15,759,42,23,6624,Underwriter J,Processor G,Approved,FL,Agent Team J,Retail
APP5087,Borrower 87,Jumbo,Purchase,Townhouse,2024-04-01,2024-04-15,2024-05-18,491396,561145,87.57,5.39,20,611,38,6,3468,Underwriter B,Processor B,Approved,AZ,Agent Team I,Wholesale
APP5088,Borrower 88,VA,Purchase,Condo,2024-03-18,2024-04-01,2024-04-25,362890,416514,87.13,5.3,20,646,49,26,3786,Underwriter B,Processor N,Approved,NY,Agent Team B,Retail
APP5089,Borrower 89,FHA,Refinance,Single Family,2024-02-25,2024-03-11,2024-04-07,333868,499372,66.86,5.89,20,600,32,21,2776,Underwriter J,Processor M,Approved,NV,Agent Team E,Wholesale
APP5090,Borrower 90,Conventional,Purchase,Luxury Home,2024-02-16,2024-02-28,2024-04-01,289789,447238,64.8,7.43,30,677,48,6,1864,Underwriter E,Processor J,Approved,CA,Agent Team A,Retail
APP5091,Borrower 91,Conventional,Refinance,Townhouse,2024-01-14,,,296106,462304,64.05,7.2,30,750,38,15,3031,Underwriter H,Processor G,In Review,CA,Agent Team I,Wholesale
APP5092,Borrower 92,FHA,Refinance,Single Family,2024-01-18,,,780265,899134,86.78,6.7,15,614,49,27,6080,Underwriter C,Processor C,In Review,NV,Agent Team A,Wholesale
APP5093,Borrower 93,FHA,Purchase,Single Family,2024-01-28,2024-02-11,2024-02-29,397736,478184,83.18,5.68,30,725,36,21,5096,Underwriter E,Processor D,Approved,NY,Agent Team J,Online
APP5094,Borrower 94,Jumbo,Refinance,Townhouse,2024-01-25,2024-02-02,2024-02-23,617010,729162,84.62,6.6,30,710,28,19,2993,Underwriter I,Processor E,Approved,NV,Agent Team J,Online
APP5095,Borrower 95,VA,Purchase,Condo,2024-02-03,2024-02-15,2024-03-05,231264,284539,81.28,5.41,15,768,29,10,4239,Underwriter E,Processor A,Approved,AZ,Agent Team C,Direct
APP5096,Borrower 96,Conventional,Purchase,Luxury Home,2024-01-26,2024-02-01,2024-03-10,749991,856081,87.61,8.16,30,720,25,25,4209,Underwriter G,Processor D,Approved,NJ,Agent Team E,Wholesale
APP5097,Borrower 97,Conventional,Purchase,Luxury Home,2024-01-21,2024-01-31,2024-02-17,614374,716677,85.73,5.51,15,674,48,27,2660,Underwriter F,Processor F,Approved,CO,Agent Team B,Online
APP5098,Borrower 98,Conventional,Purchase,Multi-Family,2024-05-10,2024-05-17,2024-06-05,940756,1047079,89.85,8.19,30,605,26,24,5670,Underwriter A,Processor M,Approved,IL,Agent Team G,Online
APP5099,Borrower 99,FHA,Refinance,Luxury Home,2024-01-04,2024-01-14,2024-02-16,537952,680173,79.09,5.55,30,778,49,6,2346,Underwriter B,Processor A,Approved,NY,Agent Team L,Retail
APP5100,Borrower 100,FHA,Refinance,Multi-Family,2024-05-15,2024-05-29,2024-06-28,287541,359642,79.95,7.28,30,619,41,16,6154,Underwriter G,Processor N,Approved,FL,Agent Team K,Online
APP5101,Borrower 101,Jumbo,Refinance,Single Family,2024-01-01,2024-01-15,2024-02-09,391983,464516,84.39,6.86,15,738,28,17,3526,Underwriter E,Processor E,Approved,CA,Agent Team C,Wholesale
APP5102,Borrower 102,VA,Refinance,Luxury Home,2024-01-03,2024-01-08,2024-01-25,916641,1012186,90.56,6.76,15,737,36,6,3560,Underwriter J,Processor I,Approved,IL,Agent Team L,Retail
APP5103,Borrower 103,FHA,Purchase,Luxury Home,2024-05-09,,,158512,320926,49.39,7.18,15,616,33,15,4458,Underwriter C,Processor K,In Review,IL,Agent Team G,Online
APP5104,Borrower 104,VA,Refinance,Townhouse,2024-02-07,,,579474,651552,88.94,7.97,15,661,36,22,5929,Underwriter J,Processor I,In Review,NJ,Agent Team E,Retail
APP5105,Borrower 105,VA,Purchase,Multi-Family,2024-04-26,2024-05-08,2024-05-30,614008,728563,84.28,6.21,15,600,32,26,5143,Underwriter E,Processor I,Approved,FL,Agent Team F,Online
APP5106,Borrower 106,Jumbo,Refinance,Single Family,2024-03-04,2024-03-21,2024-04-09,407802,496398,82.15,5.65,30,629,27,25,4398,Underwriter F,Processor L,Approved,NV,Agent Team E,Online
APP5107,Borrower 107,Jumbo,Refinance,Single Family,2024-05-02,2024-05-16,2024-05-31,298056,342116,87.12,6.88,20,745,32,12,2818,Underwriter B,Processor D,Approved,CA,Agent Team E,Retail
APP5108,Borrower 108,VA,Purchase,Luxury Home,2024-04-13,2024-04-20,2024-05-07,368134,501108,73.46,6.61,15,752,41,5,4554,Underwriter H,Processor A,Approved,NJ,Agent Team H,Retail
APP5109,Borrower 109,Jumbo,Purchase,Luxury Home,2024-02-22,2024-03-05,2024-03-24,685590,783096,87.55,6.38,30,666,31,23,6908,Underwriter B,Processor G,Approved,WA,Agent Team D,Retail
APP5110,Borrower 110,Jumbo,Refinance,Multi-Family,2024-02-07,2024-02-20,2024-03-03,182154,214490,84.92,5.11,30,685,26,14,6112,Underwriter B,Processor K,Approved,CO,Agent Team H,Online
APP5111,Borrower 111,Jumbo,Refinance,Multi-Family,2024-05-02,2024-05-16,2024-05-28,720485,876218,82.23,6.72,30,646,28,17,4728,Underwriter G,Processor N,Approved,CA,Agent Team J,Online
APP5112,Borrower 112,VA,Refinance,Townhouse,2024-05-15,,,214772,370880,57.91,5.73,15,675,37,6,1594,Underwriter A,Processor F,In Review,IL,Agent Team K,Retail
APP5113,Borrower 113,VA,Purchase,Luxury Home,2024-04-24,,,582882,688565,84.65,6.74,20,642,29,24,5606,Underwriter F,Processor K,Declined,CA,Agent Team I,Wholesale
APP5114,Borrower 114,Conventional,Purchase,Single Family,2024-03-14,,,750613,924684,81.18,6.36,30,689,38,15,3943,Underwriter J,Processor L,In Review,CO,Agent Team K,Retail
APP5115,Borrower 115,VA,Purchase,Luxury Home,2024-05-20,2024-06-01,2024-06-30,691656,868056,79.68,5.06,20,659,35,16,5951,Underwriter B,Processor D,Approved,CA,Agent Team K,Online
APP5116,Borrower 116,Jumbo,Refinance,Luxury Home,2024-03-08,,,345716,435995,79.29,5.07,20,726,34,21,2103,Underwriter J,Processor N,In Review,AZ,Agent Team A,Wholesale
APP5117,Borrower 117,Conventional,Purchase,Condo,2024-01-31,,,259945,345121,75.32,6.36,15,628,38,12,4868,Underwriter G,Processor C,Declined,CO,Agent Team L,Direct
APP5118,Borrower 118,FHA,Purchase,Condo,2024-01-11,2024-01-22,2024-02-03,434260,596977,72.74,5.6,20,656,25,26,6162,Underwriter A,Processor G,Approved,AZ,Agent Team J,Direct
APP5119,Borrower 119,Conventional,Purchase,Multi-Family,2024-04-24,2024-05-06,2024-06-01,480388,653154,73.55,5.18,15,736,34,24,5712,Underwriter B,Processor D,Approved,AZ,Agent Team L,Wholesale
APP5120,Borrower 120,VA,Refinance,Townhouse,2024-02-04,2024-02-12,2024-03-19,913978,1083627,84.34,6.49,20,761,41,15,2454,Underwriter E,Processor H,Approved,NY,Agent Team I,Retail
APP5121,Borrower 121,VA,Refinance,Luxury Home,2024-04-17,2024-05-02,2024-06-01,921253,1018779,90.43,5.53,30,687,25,21,5880,Underwriter J,Processor C,Approved,NJ,Agent Team K,Online
APP5122,Borrower 122,VA,Purchase,Townhouse,2024-03-03,2024-03-18,2024-04-20,693385,864852,80.17,5.68,15,648,31,21,6703,Underwriter D,Processor M,Approved,WA,Agent Team C,Retail
APP5123,Borrower 123,VA,Purchase,Single Family,2024-04-14,,,907907,990760,91.64,7.75,20,662,32,21,5922,Underwriter A,Processor H,In Review,NJ,Agent Team H,Online
APP5124,Borrower 124,FHA,Purchase,Single Family,2024-01-01,2024-01-18,2024-02-21,283554,337996,83.89,7.56,15,661,41,17,3000,Underwriter D,Processor H,Approved,NY,Agent Team I,Online
APP5125,Borrower 125,FHA,Refinance,Luxury Home,2024-01-30,2024-02-11,2024-03-12,299521,393598,76.1,7.28,20,793,46,21,3661,Underwriter F,Processor E,Approved,NV,Agent Team K,Online
APP5126,Borrower 126,Conventional,Refinance,Multi-Family,2024-03-03,,,336240,418727,80.3,7.76,15,702,27,14,2981,Underwriter A,Processor N,In Review,NJ,Agent Team L,Direct
APP5127,Borrower 127,VA,Refinance,Single Family,2024-04-19,2024-04-25,2024-06-03,887334,1023281,86.71,7.69,15,734,32,5,5908,Underwriter E,Processor L,Approved,CO,Agent Team D,Direct
APP5128,Borrower 128,Jumbo,Refinance,Condo,2024-03-07,,,655815,716493,91.53,7.15,30,671,46,19,4800,Underwriter B,Processor O,Declined,CO,Agent Team G,Retail
APP5129,Borrower 129,Jumbo,Refinance,Luxury Home,2024-03-07,2024-03-14,2024-03-26,497739,629097,79.12,7.31,20,634,48,18,2811,Underwriter H,Processor A,Approved,WA,Agent Team C,Retail
APP5130,Borrower 130,Conventional,Refinance,Single Family,2024-04-29,2024-05-14,2024-06-10,466915,624072,74.82,5.66,20,654,40,22,5925,Underwriter C,Processor D,Approved,CO,Agent Team E,Wholesale
APP5131,Borrower 131,Jumbo,Purchase,Luxury Home,2024-01-07,,,428176,460374,93.01,7.71,15,711,43,8,2808,Underwriter I,Processor A,Declined,TX,Agent Team H,Direct
APP5132,Borrower 132,Jumbo,Purchase,Condo,2024-03-22,2024-03-28,2024-04-09,410910,464146,88.53,6.09,30,729,27,27,4690,Underwriter J,Processor B,Approved,AZ,Agent Team F,Wholesale
APP5133,Borrower 133,VA,Purchase,Single Family,2024-05-19,2024-05-27,2024-06-12,806639,948135,85.08,6.4,30,771,27,24,5077,Underwriter A,Processor E,Approved,NY,Agent Team D,Online
APP5134,Borrower 134,VA,Purchase,Townhouse,2024-03-26,,,406713,455776,89.24,8.15,15,727,41,22,4686,Underwriter A,Processor L,In Review,NY,Agent Team E,Retail
APP5135,Borrower 135,VA,Purchase,Condo,2024-01-14,2024-01-27,2024-02-15,645553,775161,83.28,5.83,20,621,35,18,3551,Underwriter C,Processor O,Approved,CO,Agent Team E,Retail
APP5136,Borrower 136,Jumbo,Purchase,Luxury Home,2024-01-29,,,357980,514658,69.56,7.19,15,669,42,25,3589,Underwriter I,Processor C,In Review,CO,Agent Team B,Online
APP5137,Borrower 137,VA,Purchase,Townhouse,2024-04-09,2024-04-22,2024-05-09,307729,459558,66.96,7.66,30,686,45,14,1841,Underwriter G,Processor C,Approved,TX,Agent Team C,Online
